Cache Timing Analysis
====================

Overall Statistics:
  Min access time: 108 cycles
  Max access time: 137952 cycles
  Mean access time: 356.03 cycles
  Median access time: 332.00 cycles
  Std dev of access times: 389.75 cycles

Potential cache hit/miss threshold: 105260.00 cycles
  Values below this are likely cache hits
  Values above this are likely cache misses

Statistics by Address:
Address,Mean,Median,StdDev,Min,Max
24640,340.93,320.00,93.34,272,1180
24704,359.68,338.00,88.42,300,1108
24768,341.57,324.00,82.86,276,1036
24832,345.64,328.00,77.35,276,1252
24896,335.02,324.00,58.80,284,972
24960,347.70,328.00,91.36,288,1176
25024,355.07,336.00,79.99,276,1196
25088,345.23,328.00,79.33,300,1116
25152,336.86,316.00,83.50,288,1040
25216,359.90,328.00,112.51,300,1136
25280,347.28,320.00,111.76,264,1172
25344,350.18,328.00,87.88,288,1016
25408,345.62,324.00,92.47,284,1136
25472,356.88,338.00,76.01,136,1028
25536,338.08,324.00,66.69,272,1024
25600,346.29,328.00,78.53,300,1004
25664,361.51,336.00,102.47,288,1528
25728,341.40,324.00,80.98,296,1028
25792,378.34,336.00,602.22,308,19192
25856,350.12,328.00,84.47,300,1044
25920,342.20,316.00,96.38,136,988
25984,359.53,336.00,100.24,308,1440
26048,351.20,328.00,101.55,300,1096
26112,336.98,316.00,90.99,292,1372
26176,352.50,328.00,96.90,180,1120
26240,336.40,316.00,81.18,288,1024
26304,351.39,328.00,91.52,300,1200
26368,346.52,324.00,90.83,296,1216
26432,352.98,328.00,100.72,300,1460
26496,336.46,316.00,77.30,256,1036
26560,366.64,328.00,687.03,272,21936
26624,349.50,336.00,62.39,308,1036
26688,369.52,324.00,707.57,172,22552
26752,340.64,324.00,78.84,200,1096
26816,348.29,328.00,85.20,284,1152
26880,339.06,316.00,93.88,268,1060
26944,351.02,328.00,92.54,300,1048
27008,342.40,320.00,94.89,288,1028
27072,375.35,328.00,662.25,148,21040
27136,359.13,336.00,89.44,308,1084
27200,343.83,324.00,75.46,300,1028
27264,343.04,324.00,77.23,296,1036
27328,369.90,328.00,720.64,296,22972
27392,335.55,320.00,77.36,272,1092
27456,430.96,328.00,2512.48,300,79792
27520,359.44,340.00,86.14,292,1000
27584,349.34,324.00,103.84,232,1052
27648,404.08,316.00,2087.00,268,66312
27712,365.96,328.00,531.13,264,16900
27776,347.45,324.00,93.21,260,1100
27840,363.79,340.00,95.30,264,1380
27904,369.01,324.00,609.42,296,19368
27968,346.36,328.00,85.32,300,1144
28032,346.38,328.00,83.66,300,1096
28096,337.84,320.00,80.45,268,1236
28160,346.06,328.00,80.56,300,984
28224,356.99,336.00,87.07,284,1032
28288,349.02,328.00,85.58,204,1036
28352,354.66,324.00,109.21,248,1028
28416,351.27,328.00,86.73,276,1012
28480,341.64,316.00,97.56,180,1100
28544,353.02,328.00,101.27,108,1036
28608,355.58,336.00,85.04,308,1064
28672,391.02,340.00,742.65,308,18764
28736,343.45,324.00,81.87,272,972
28800,366.17,328.00,457.25,300,14500
28864,367.63,316.00,706.68,276,22432
28928,361.69,324.00,425.21,292,13464
28992,362.10,340.00,91.84,308,1096
29056,349.82,328.00,97.23,276,1080
29120,358.14,336.00,91.09,244,1040
29184,354.01,328.00,98.55,300,1116
29248,339.35,320.00,92.18,204,1272
29312,351.66,328.00,83.86,268,1032
29376,338.37,316.00,86.58,264,1016
29440,348.26,328.00,82.89,288,1048
29504,345.91,324.00,89.12,296,1172
29568,351.72,328.00,90.88,280,1096
29632,369.14,316.00,1030.87,216,32844
29696,341.00,324.00,77.47,268,1092
29760,358.54,340.00,81.29,188,1032
29824,372.17,328.00,646.50,272,20580
29888,365.94,324.00,709.31,276,22640
29952,360.83,340.00,92.44,308,1104
30016,349.15,324.00,97.19,264,1008
30080,371.23,336.00,471.86,308,15016
30144,344.85,328.00,76.78,276,1160
30208,342.31,316.00,93.65,260,1148
30272,354.37,328.00,98.88,276,1064
30336,335.38,320.00,74.93,236,996
30400,350.83,328.00,93.98,268,1568
30464,346.37,324.00,86.06,264,1348
30528,347.20,328.00,76.11,276,1120
30592,337.52,320.00,80.53,196,1032
30656,362.55,328.00,385.27,200,12220
30720,381.19,336.00,716.27,308,22848
30784,347.21,328.00,86.12,276,1052
30848,345.83,324.00,79.18,156,1000
30912,351.12,328.00,92.02,220,1084
30976,335.96,316.00,75.80,260,1000
31040,346.86,328.00,82.14,300,1216
31104,339.80,318.00,90.05,184,1152
31168,350.10,328.00,89.27,208,1016
31232,352.57,336.00,78.17,308,1384
31296,347.48,324.00,92.09,300,1092
31360,342.86,324.00,87.79,276,1180
31424,354.45,328.00,100.34,272,1052
31488,339.66,320.00,81.59,288,1048
31552,376.38,328.00,830.15,300,26484
31616,354.96,336.00,78.48,308,1112
31680,349.54,328.00,98.12,300,1044
31744,346.32,324.00,94.93,292,1032
31808,367.07,340.00,110.05,308,1448
31872,339.41,320.00,85.35,188,1012
31936,351.37,328.00,88.92,244,1064
32000,353.48,336.00,64.29,288,976
32064,341.73,324.00,79.96,296,1028
32128,348.37,324.00,96.16,296,1172
32192,495.64,340.00,2934.08,308,86640
32256,353.07,328.00,96.82,300,1060
32320,342.41,320.00,100.61,288,1132
32384,353.67,336.00,73.13,308,1064
32448,341.33,324.00,84.25,260,1032
32512,364.08,324.00,704.65,160,22532
32576,373.76,336.00,576.98,232,18404
32640,346.47,328.00,71.37,300,1004
32704,342.23,320.00,89.90,288,1048
32768,349.53,328.00,82.14,300,1036
32832,350.14,324.00,94.30,296,1088
32896,344.14,328.00,77.17,188,1004
32960,361.03,336.00,100.39,144,1208
33024,354.11,328.00,100.21,120,1524
33088,340.80,320.00,97.09,260,1024
33152,344.58,328.00,71.37,300,1096
33216,339.24,316.00,91.37,256,1096
33280,349.24,328.00,88.13,300,1096
33344,348.72,324.00,98.66,296,1060
33408,346.48,328.00,85.49,268,1048
33472,359.54,336.00,89.36,308,1056
33536,343.33,328.00,71.91,300,1044
33600,345.26,316.00,110.11,288,1360
33664,346.79,328.00,81.14,280,1016
33728,341.82,324.00,76.61,296,1028
33792,349.62,328.00,88.36,268,1008
33856,349.19,320.00,107.57,284,1228
33920,349.34,328.00,85.66,196,1016
33984,345.36,316.00,106.77,256,1108
34048,348.26,328.00,83.23,300,1036
34112,355.82,336.00,82.00,308,1052
34176,339.88,324.00,76.44,228,1016
34240,354.86,336.00,74.29,280,1108
34304,347.16,324.00,91.08,264,1200
34368,347.86,328.00,86.29,300,1116
34432,356.79,340.00,80.93,204,1048
34496,345.00,324.00,94.84,264,1144
34560,344.94,318.00,102.26,292,1040
34624,351.69,328.00,88.45,300,1172
34688,345.78,324.00,88.98,264,1016
34752,351.33,328.00,86.67,276,1008
34816,338.85,320.00,80.88,288,1004
34880,349.28,328.00,86.92,300,1148
34944,333.57,316.00,73.31,288,996
35008,350.99,328.00,95.34,300,1188
35072,355.13,336.00,82.89,308,1076
35136,355.43,328.00,100.39,300,1036
35200,361.08,340.00,89.95,308,1048
35264,344.04,324.00,86.65,292,1068
35328,336.22,316.00,81.37,268,1048
35392,351.52,328.00,93.88,300,1040
35456,344.84,324.00,89.18,208,1084
35520,362.51,340.00,97.07,288,1396
35584,355.26,336.00,81.28,308,1012
35648,352.40,328.00,98.74,248,1000
35712,341.69,316.00,94.67,288,1040
35776,350.21,328.00,90.51,300,1020
35840,372.01,324.00,879.89,296,28048
35904,350.41,328.00,94.60,300,1192
35968,357.46,336.00,92.17,308,1112
36032,348.15,324.00,90.30,168,1116
36096,336.63,320.00,80.51,144,1020
36160,347.47,328.00,79.80,300,1024
36224,346.60,328.00,81.07,288,1060
36288,335.08,316.00,79.11,280,1012
36352,344.51,324.00,89.57,292,1216
36416,362.64,340.00,96.23,280,1224
36480,350.25,328.00,91.89,156,1044
36544,431.66,336.00,2267.78,248,72044
36608,356.38,340.00,76.65,308,1008
36672,338.79,324.00,70.98,280,1020
36736,351.01,328.00,92.98,268,1016
36800,371.72,324.00,827.95,264,26392
36864,347.51,328.00,80.28,300,1104
36928,340.50,320.00,84.64,228,1016
36992,353.70,328.00,100.09,284,1152
37056,339.98,320.00,90.70,288,1448
37120,348.35,328.00,90.96,300,1472
37184,353.66,336.00,78.84,188,1008
37248,347.04,328.00,80.77,300,1048
37312,346.45,324.00,93.72,296,1092
37376,360.33,340.00,89.03,312,1164
37440,344.44,324.00,90.87,292,1096
37504,349.64,328.00,90.63,284,1124
37568,361.02,320.00,583.67,264,18564
37632,368.63,324.00,604.82,180,14056
37696,382.92,340.00,666.59,308,21228
37760,347.85,328.00,89.13,300,1108
37824,344.27,316.00,102.81,232,1100
37888,350.57,328.00,88.27,300,1016
37952,347.00,324.00,94.10,196,1168
38016,342.41,324.00,75.04,272,1004
38080,355.65,336.00,87.48,228,1032
38144,346.96,328.00,83.62,276,1032
38208,355.43,320.00,561.56,244,17868
38272,343.55,320.00,85.94,192,1012
38336,348.58,328.00,87.97,300,1096
38400,347.90,324.00,99.04,292,1196
38464,362.82,336.00,100.06,168,1196
38528,337.43,316.00,86.53,288,1204
38592,350.66,328.00,95.26,292,1392
38656,361.54,340.00,91.39,312,1120
38720,346.84,324.00,98.30,292,1160
38784,340.64,316.00,95.17,256,1124
38848,346.93,328.00,81.59,300,1236
38912,344.83,324.00,84.29,296,1016
38976,352.62,328.00,95.45,300,1164
39040,354.82,336.00,87.15,196,1128
39104,345.65,328.00,81.26,300,1032
39168,338.98,320.00,81.32,260,1116
39232,348.51,328.00,86.48,300,1068
39296,340.49,316.00,96.87,252,1468
39360,350.27,328.00,87.15,228,1044
39424,341.52,324.00,75.00,268,1048
39488,353.45,328.00,99.37,300,1152
39552,353.29,336.00,78.90,284,1024
39616,353.14,326.00,101.28,284,1032
39680,343.94,320.00,102.31,272,1044
39744,352.62,328.00,100.78,276,1232
39808,344.28,324.00,86.60,296,1164
39872,348.35,328.00,82.47,300,1136
39936,336.10,316.00,82.45,260,1472
40000,350.07,328.00,85.97,300,1116
40064,337.19,316.00,85.07,264,1024
40128,347.66,328.00,78.78,300,1008
40192,360.28,336.00,93.29,308,1048
40256,351.12,328.00,93.00,300,1008
40320,350.28,324.00,98.49,296,1064
40384,366.20,328.00,481.13,224,15304
40448,346.24,324.00,94.54,260,1028
40512,354.92,338.00,76.99,280,1316
40576,341.30,320.00,92.44,292,1068
40640,349.95,328.00,89.70,300,1424
40704,357.28,340.00,79.82,308,1028
40768,346.68,324.00,101.74,272,1024
40832,354.65,316.00,612.28,140,19564
40896,351.93,328.00,93.41,268,1144
40960,349.31,324.00,100.38,296,1140
41024,349.16,328.00,92.60,300,1408
41088,377.03,336.00,462.04,308,14592
41152,358.31,328.00,113.18,272,1148
41216,335.63,316.00,79.13,204,1028
41280,349.46,328.00,89.03,300,1008
41344,340.06,320.00,91.04,288,1376
41408,350.66,328.00,90.17,300,1096
41472,360.24,340.00,87.54,272,1056
41536,341.79,324.00,85.22,292,1112
41600,355.53,336.00,89.31,276,1052
41664,352.18,328.00,94.44,268,1012
41728,338.01,324.00,74.29,260,1360
41792,360.72,340.00,86.16,308,1340
41856,340.34,324.00,69.03,296,1040
41920,352.46,328.00,95.09,284,1040
41984,344.42,316.00,112.87,288,1828
42048,355.03,328.00,102.41,300,1040
42112,337.28,316.00,79.97,288,1168
42176,352.90,328.00,97.69,300,1128
42240,356.93,336.00,86.70,308,1128
42304,350.10,328.00,92.14,300,1100
42368,369.64,328.00,736.01,272,23500
42432,336.90,316.00,84.95,260,1040
42496,348.02,328.00,83.34,208,1108
